
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 199  101  0.796743 i
 199  102  0.803142 i
 199  103  0.80952 i
 199  104  0.815876 i
 199  105  0.822208 i
 199  106  0.828516 i
 199  107  0.8348 i
 199  108  0.841058 i
 199  109  0.847289 i
 199  110  0.853493 i
 199  111  0.85967 i
 199  112  0.865817 i
 199  113  0.871936 i
 199  114  0.878024 i
 199  115  0.884082 i
 199  116  0.890109 i
 199  117  0.896104 i
 199  118  0.902067 i
 199  119  0.907998 i
 199  120  0.913896 i
 199  121  0.91976 i
 199  122  0.925591 i
 199  123  0.931387 i
 199  124  0.937149 i
 199  125  0.942876 i
 199  126  0.948568 i
 199  127  0.954224 i
 199  128  0.959845 i
 199  129  0.96543 i
 199  130  0.970979 i
 199  131  0.976491 i
 199  132  0.981968 i
 199  133  0.987407 i
 199  134  0.99281 i
 199  135  0.998176 i
 199  136 -0.996495 i
 199  137 -0.991203 i
 199  138 -0.985947 i
 199  139 -0.980729 i
 199  140 -0.975548 i
 199  141 -0.970404 i
 199  142 -0.965296 i
 199  143 -0.960226 i
 199  144 -0.955193 i
 199  145 -0.950196 i
 199  146 -0.945236 i
 199  147 -0.940313 i
 199  148 -0.935426 i
 199  149 -0.930576 i
 199  150 -0.925762 i
 199  151 -0.920985 i
 199  152 -0.916243 i
 199  153 -0.911537 i
 199  154 -0.906867 i
 199  155 -0.902233 i
 199  156 -0.897634 i
 199  157 -0.89307 i
 199  158 -0.888541 i
 199  159 -0.884047 i
 199  160 -0.879587 i
 199  161 -0.875162 i
 199  162 -0.87077 i
 199  163 -0.866413 i
 199  164 -0.862089 i
 199  165 -0.857799 i
 199  166 -0.853542 i
 199  167 -0.849318 i
 199  168 -0.845126 i
 199  169 -0.840967 i
 199  170 -0.83684 i
 199  171 -0.832745 i
 199  172 -0.828682 i
 199  173 -0.82465 i
 199  174 -0.820649 i
 199  175 -0.816679 i
 199  176 -0.812739 i
 199  177 -0.80883 i
 199  178 -0.804951 i
 199  179 -0.801101 i
 199  180 -0.797281 i
 199  181 -0.793491 i
 199  182 -0.789729 i
 199  183 -0.785995 i
 199  184 -0.78229 i
 199  185 -0.778613 i
 199  186 -0.774964 i
 199  187 -0.771343 i
 199  188 -0.767748 i
 199  189 -0.764181 i
